timestamp,cpu_percent,memory_usage_mb,memory_percent,response_time_ms,status
2025-09-25 17:36:18,0.00,11,100.00,52,healthy
2025-09-25 17:36:29,0.00,11,100.00,59,healthy
2025-09-25 17:36:52,69.96,60.53,5.91,9345,unhealthy
2025-09-25 17:37:05,0.00,11,100.00,45,unhealthy
2025-09-25 17:37:17,0.00,11,100.00,26,unhealthy
2025-09-25 17:37:28,0.00,11,100.00,57,healthy
2025-09-25 17:37:39,0.00,11,100.00,17,unhealthy
2025-09-25 17:37:50,0.00,11,100.00,23,healthy
2025-09-25 17:38:03,0.00,11,100.00,16,unhealthy
2025-09-25 17:38:13,0.00,11,100.00,23,unhealthy
2025-09-25 17:38:25,0.00,11,100.00,14,unhealthy
2025-09-25 17:38:36,0.00,11,100.00,12,unhealthy
2025-09-25 17:38:48,0.00,11,100.00,66,healthy
2025-09-25 17:38:59,0.00,11,100.00,79,healthy
2025-09-25 17:39:11,0.00,11,100.00,22,healthy
2025-09-25 17:39:21,0.00,11,100.00,28,unhealthy
2025-09-25 17:39:33,0.00,11,100.00,16,unhealthy
2025-09-25 17:39:45,0.00,11,100.00,70,healthy
2025-09-25 17:39:57,0.00,11,100.00,16,unhealthy
2025-09-25 17:40:10,0.00,11,100.00,27,unhealthy
2025-09-25 17:40:22,0.00,11,100.00,15,unhealthy
2025-09-25 17:40:34,0.00,11,100.00,68,healthy
2025-09-25 17:40:46,0.00,11,100.00,35,unhealthy
2025-09-25 17:40:58,0.00,11,100.00,20,unhealthy
2025-09-25 17:41:10,0.00,11,100.00,14,unhealthy
2025-09-25 17:41:23,0.00,11,100.00,40,unhealthy
2025-09-25 17:41:36,0.00,11,100.00,42,healthy
2025-09-25 17:41:49,0.00,11,100.00,12,unhealthy
2025-09-25 17:42:01,0.00,11,100.00,96,unhealthy
2025-09-25 17:42:13,0.00,11,100.00,12,unhealthy
2025-09-25 17:42:25,0.00,11,100.00,73,healthy
2025-09-25 17:42:37,0.00,11,100.00,49,healthy
2025-09-25 17:42:50,0.00,11,100.00,34,unhealthy
2025-09-25 17:43:00,0.00,11,100.00,13,unhealthy
2025-09-25 17:43:13,0.00,11,100.00,18,unhealthy
2025-09-25 17:43:26,0.00,11,100.00,45,healthy
2025-09-25 17:43:38,0.00,11,100.00,30,healthy
2025-09-25 17:43:50,0.00,11,100.00,23,healthy
2025-09-25 17:44:02,0.00,11,100.00,67,healthy
2025-09-25 17:44:13,0.00,11,100.00,23,healthy
2025-09-25 17:44:23,0.00,11,100.00,53,healthy
2025-09-25 17:44:35,0.00,11,100.00,16,unhealthy
2025-09-25 17:44:49,0.00,11,100.00,65,healthy
2025-09-25 17:45:04,0.00,11,100.00,15,unhealthy
2025-09-25 17:45:17,0.00,11,100.00,23,healthy
2025-09-25 17:45:28,0.00,11,100.00,16,unhealthy
2025-09-25 17:45:40,0.00,11,100.00,11,unhealthy
